"COUNTYNS","carb","carb.var","carb.cv","pred","pred.mse","pred.cv","ser","cvr"
835841,14.6173792963432,59.1292669343781,0.526055700459163,15.8294449014585,56.8173931450976,0.476184183749487,0.980255763682751,0.905197269669075
1513275,830.005342891445,39697.5574281478,0.240049610048268,863.433384883665,2543.7710435672,0.0584130889600986,0.253137867305069,0.243337570714458
933054,7.13505030047329,6.20715202607865,0.349179832256553,7.0411326812571,6.17956825316727,0.353050262354598,0.99777559130608,1.0110843460604
835876,9.05704532424344,28.9349281349527,0.593915504509744,9.25882907640553,28.2423408535591,0.573976720142501,0.987959498621067,0.966428247426036
835886,9.86979205610045,90.3905555842185,0.963282177602405,10.4210129337612,84.5657573847204,0.882444369708025,0.967243329923977,0.916080864180853
1265772,3.8050346820164,16.8823949959585,1.07983750906769,3.80999759897594,16.6046096669333,1.06952178091831,0.991738805198087,0.990446962563573
1383949,245.685053941197,868.26427433816,0.119935356013952,223.434090669251,555.354319360464,0.105471625739729,0.799758953959365,0.879403949302992
277310,579.019720954564,4179.38403813904,0.111651042929104,514.459103735374,1260.37023855439,0.0690078049015062,0.549152455540037,0.618066818644271
516873,320.832110683052,7143.52601722383,0.26343804027095,319.51206743015,1751.1617924993,0.130971219446266,0.495115840463324,0.49716137924333
1074044,48.9078293117584,610.787503826845,0.505320228378836,41.0282539320188,430.382256547409,0.505643168827298,0.839425402404794,1.00063908078546
1383880,0.628513833160125,0.396619685065488,1.00201054504807,0.624807938197536,0.396489850779819,1.00778873332424,0.999836310554318,1.0057665942786
161539,381.302208018757,2709.97945786773,0.136525469673186,366.969163445942,1122.42393254395,0.0912953982098712,0.643569508633381,0.668705981590203
1383791,57.4452253728991,153.76500660634,0.215861314794225,55.0158119899409,138.419169244646,0.213850658555468,0.948788394019877,0.990685425775925
1074015,63.8145301562466,904.20641677027,0.47120969388979,55.5356062559648,573.947847718288,0.431384661026095,0.796713953640429,0.915483417722283
348794,431.257776876394,9549.31916296411,0.226594448009373,424.716392072521,1938.29826404521,0.103660018102297,0.45053039815157,0.457469364377409
1581115,273.165456865281,1024.51856661587,0.117174777313088,266.042933529758,629.542117236402,0.0943106346115683,0.783885224623988,0.804871464441297
69902,376.646428943574,2455.11971056684,0.131553522806216,318.176382272892,1019.36128946406,0.100345090512662,0.644358752541126,0.762770075419983
1155135,320.557360139962,349.485256438601,0.0583188130932575,308.929822278332,275.790319366622,0.0537563377949585,0.88833153472275,0.921766664026527
1214112,265.224605468002,3729.21435901283,0.230247467369983,243.341069200711,1306.92874217374,0.148562959601779,0.591993966766179,0.64523167745882
695754,313.67602252535,1748.35862203156,0.133301162673247,342.442004229517,911.62923790913,0.0881702541286447,0.722094210430202,0.661436497330269
758496,118.539530437098,635.72286137684,0.212701578144829,123.879399737579,451.116396899912,0.171453049560864,0.842384547560992,0.806073236768
198170,193.085434173458,64.2391036329726,0.0415097600693151,192.215496845875,61.1680537744734,0.0406887110821708,0.975804002325275,0.980220338884799
1008544,375.674026002243,2925.14530293354,0.143966866745933,334.57827803083,1140.44723238808,0.100934551165941,0.62440141102096,0.701095699638071
1448030,71.3281434716963,100.471950841967,0.140527557252121,71.5783201717447,93.3726473803281,0.134998310782168,0.964023051464146,0.960653649874291
1101788,217.737423851024,1266.78148563935,0.163462363250949,217.353462886984,707.172457194249,0.122347783236688,0.747156906082737,0.748476779629438
1074055,302.255672542246,8330.21779285469,0.301962990592103,254.000311839387,1887.20087348682,0.171030991978472,0.475971431342811,0.566397198686855
1789074,83.859570622516,8126.48471012735,1.07497589757734,255.34969028245,2495.6323124924,0.19563878842496,0.554164803040555,0.18199365108173
1674630,361.361473209843,4107.89850661571,0.17736503314405,342.507410805436,1462.35779198966,0.111649517104252,0.59664632405013,0.629490013477311
1639749,277.430423002347,2515.47201151424,0.180782197305999,277.993195282309,1069.02937387311,0.117614442378572,0.651906144574352,0.650586419079161
929104,96.7428307515263,15.7705805004073,0.0410492331948128,96.8649278932804,15.5616645458494,0.0407250348952799,0.993354319987423,0.992102208146147
929108,169.896467622878,13.3186493748197,0.0214805671362105,169.951167359582,13.1926893796301,0.0213718696434454,0.995260058948918,0.994939728915168
161572,350.967674458999,1493.80637134305,0.110123507553393,355.963007716445,781.555803578747,0.0785371484065124,0.723323945312171,0.713173328305351
1605076,138.820525847992,68.2102751107057,0.0594937323630934,139.258376496158,64.716081235488,0.057767660276973,0.974049897902518,0.970987328957846
758460,98.1123991583957,700.779344472895,0.269815410353215,96.0665457141584,488.097294624308,0.229975210628556,0.834569586429646,0.852342756581232
1383814,49.6402615724739,283.391826083808,0.339124837405535,53.8228469716164,237.34947910441,0.286238122981858,0.915167274207487,0.844049421952443
1550044,681.227212135724,2964.31640078701,0.0799227264063098,643.26507117108,1267.95357970784,0.0553556184123268,0.654017544338287,0.692614240046203
1383824,105.030856861496,261.262040182743,0.153893844246483,105.861957995074,221.244145911345,0.140506356372102,0.920232859944453,0.913008295166507
1480135,407.202546065633,16809.035057244,0.318391090689437,297.797030156771,2172.33566942799,0.156510365015205,0.359494354966113,0.49156640870918
835872,6.43344339240416,11.9681030455878,0.537736078775978,6.56396692061411,11.8474310822318,0.524379508043449,0.994945828764117,0.975161475564495
558468,164.848313423253,630.998724460554,0.15238061866269,163.54223018936,451.883834243678,0.129982081304146,0.846250935675728,0.853009276671032
559528,324.861297818169,1444.21569296245,0.116981734095615,328.046722834314,818.296343621408,0.087200625818593,0.752730087145351,0.745420868417965
